DWA_ID_dup,Finance,V1,pct,AIOE
4.A.1.b.2.I10.D06,Hors finance,3.31125,0.0810364448315387,6.2939989432878
4.A.1.b.2.I10.D07,Finance,3.24619047619048,0.00184874018627084,6.05561896061033
4.A.1.b.2.I11.D01,Hors finance,3.99571428571429,0.00431372710129864,5.53158008947526
4.A.1.b.2.I12.D02,Hors finance,3.81253333333333,0.0830906005940618,6.27010963166115
4.A.1.b.2.I12.D03,Hors finance,4.07173469387755,0.0668627700701289,5.71452443552617
4.A.1.b.2.I12.D05,Hors finance,3.83522727272727,0.00554622055881254,5.6276239008959
4.A.1.b.2.I12.D06,Hors finance,4.13681818181818,0.00985994766011117,5.58351787875379
4.A.1.b.2.I12.D07,Hors finance,4.09607142857143,0.0111951489057512,5.72709325609529
4.A.1.b.3.I01.D02,Hors finance,3.7754347826087,0.238590191817065,5.7344932397581
4.A.1.b.3.I01.D03,Hors finance,4.008125,0.0134547202445267,6.10066811617272
4.A.1.b.3.I01.D04,Hors finance,3.62785714285714,0.0044164348894248,5.6789923465014
4.A.1.b.3.I01.D05,Hors finance,4.02,0.00184874018627084,6.23337506273069
4.A.1.b.3.I01.D06,Hors finance,3.78888888888889,0.0120168112107605,5.73428935690509
4.A.1.b.3.I01.D09,Hors finance,3.40944444444444,0.0373856348779215,5.68478202945214
4.A.1.b.3.I01.D10,Hors finance,3.78,0.00174603239814469,5.68057064647615
4.A.1.b.3.I01.D11,Hors finance,3.75333333333333,0.00554622055881253,5.61076587491981
4.A.1.b.3.I01.D12,Hors finance,3.70089622641509,0.0323529532597398,5.62077979633665
4.A.1.b.3.I01.D16,Hors finance,3.65677777777778,0.00164332461001853,5.39738899800514
4.A.1.b.3.I02.D02,Hors finance,3.71846153846154,0.0218767588708717,5.62403104001607
4.A.1.b.3.I02.D04,Hors finance,3.7289705882353,0.0254715314552872,6.46209763065506
4.A.1.b.3.I02.D06,Hors finance,3.365625,0.00801120747384033,6.28518869538046
4.A.1.b.3.I02.D07,Hors finance,3.65238095238095,0.00431372710129864,5.68333047716242
4.A.1.b.3.I03.D01,Finance,3.53807692307692,0.0800093669502771,6.46519541873652
4.A.1.b.3.I03.D03,Finance,3.92909090909091,0.00328664922003706,6.49084324985016
4.A.1.b.3.I03.D04,Finance,3.60944444444444,0.0251634080909087,6.63456851576089
4.A.1.b.3.I04.D02,Hors finance,3.77796296296296,0.0204388498371054,5.55992024517095
4.A.1.b.3.I04.D04,Hors finance,3.80538461538462,0.00996265544823733,6.22493192003082
4.A.2.a.1.I02.D01,Hors finance,3.1106,0.0330719077766229,6.43778229927689
4.A.2.a.1.I02.D03,Finance,3.39666666666667,0.0231092523283856,6.65995127391969
4.A.2.a.1.I02.D04,Finance,3.4415,0.244855366892761,6.65730457267982
4.A.2.a.1.I02.D05,Hors finance,2.976125,0.433016034739882,6.56835848836204
4.A.2.a.1.I02.D06,Hors finance,2.705,0.0228011289640071,6.58871674602253
4.A.2.a.1.I02.D07,Hors finance,2.90111111111111,0.00770308410946185,6.59220264912098
4.A.2.a.1.I03.D01,Hors finance,2.90611111111111,0.00626517507569564,6.30826273618413
4.A.2.a.1.I03.D02,Hors finance,3.01176991150443,0.194117719558439,6.51331422888072
4.A.2.a.1.I03.D03,Hors finance,3.02760869565218,0.147899214901668,6.55737910449519
4.A.2.a.1.I03.D04,Hors finance,3.01562790697675,0.833062869491268,6.54522948498688
4.A.2.a.1.I04.D01,Hors finance,2.89970588235294,0.00349206479628937,6.44100614410871
4.A.2.a.1.I04.D03,Hors finance,3.06909090909091,0.00246498691502779,5.78338319195729
